State,Year,CO2/Wh
AL,2016,0.0007966
AK,2016,0.00526
AZ,2016,0.000831
AR,2016,0.00102
CA,2016,0.001783
CO,2016,0.00161
CT,2016,0.00093
DE,2016,0.00164
DC,2016,0.036
FL,2016,0.0009974
GA,2016,0.001078
HI,2016,0.00197
ID,2016,0.00116
IL,2016,0.001099
IN,2016,0.001777
IA,2016,0.00132
KS,2016,0.00131
KY,2016,0.001573
LA,2016,0.001755
ME,2016,0.00139
MD,2016,0.00162
MA,2016,0.002
MI,2016,0.001373
MN,2016,0.00152
MS,2016,0.000984
MO,2016,0.001506
MT,2016,0.00111
NE,2016,0.00131
NV,2016,0.001
NH,2016,0.000713
NJ,2016,0.001353
NM,2016,0.00147
NY,2016,0.00126
NC,2016,0.0009501
ND,2016,0.00144
OH,2016,0.001704
OK,2016,0.00121
OR,2016,0.00062
PA,2016,0.00101
RI,2016,0.0015
SC,2016,0.00074
SD,2016,0.00127
TN,2016,0.00127
TX,2016,0.001439
UT,2016,0.00154
VT,2016,0.0031
VA,2016,0.001183
WA,2016,0.000691
WV,2016,0.00124
WI,2016,0.00146
WY,2016,0.00131
AL,2017,0.0007721
AK,2017,0.00517
AZ,2017,0.00085
AR,2017,0.00105
CA,2017,0.00172
CO,2017,0.00164
CT,2017,0.000975
DE,2017,0.00183
DC,2017,0.039
FL,2017,0.0009956
GA,2017,0.001106
HI,2017,0.00206
ID,2017,0.00106
IL,2017,0.001113
IN,2017,0.001769
IA,2017,0.00128
KS,2017,0.00115
KY,2017,0.001589
LA,2017,0.001971
ME,2017,0.00135
MD,2017,0.0016
MA,2017,0.002
MI,2017,0.001381
MN,2017,0.00155
MS,2017,0.00101
MO,2017,0.001465
MT,2017,0.0011
NE,2017,0.00134
NV,2017,0.00105
NH,2017,0.000771
NJ,2017,0.00131
NM,2017,0.00147
NY,2017,0.00129
NC,2017,0.0009384
ND,2017,0.00136
OH,2017,0.001689
OK,2017,0.00126
OR,2017,0.000614
PA,2017,0.001004
RI,2017,0.0013
SC,2017,0.000747
SD,2017,0.00133
TN,2017,0.00122
TX,2017,0.00146
UT,2017,0.00157
VT,2017,0.0027
VA,2017,0.001162
WA,2017,0.000678
WV,2017,0.00124
WI,2017,0.00151
WY,2017,0.00134
AL,2018,0.0007715
AK,2018,0.00551
AZ,2018,0.000837
AR,2018,0.00104
CA,2018,0.001825
CO,2018,0.00161
CT,2018,0.000944
DE,2018,0.00223
DC,2018,0.036
FL,2018,0.0009865
GA,2018,0.001093
HI,2018,0.00205
ID,2018,0.00104
IL,2018,0.001125
IN,2018,0.00166
IA,2018,0.00126
KS,2018,0.00121
KY,2018,0.001551
LA,2018,0.0019
